1,32,38636,478461,0,0,1
1,33,29687,448296,1,1,1
1,39,26925,439818,0,1,1
1,40,44431,103843,1,0,1
1,29,37748,276980,0,0,1
1,33,25668,262187,1,1,1
1,33,24483,387160,0,1,1
1,26,25456,116101,0,1,1
1,32,32253,208512,1,1,1
1,33,35668,344058,1,0,1
1,26,26563,324181,1,0,1
1,37,13961,285826,1,0,1
1,27,30004,254851,1,1,1
1,39,19946,432929,1,0,1
1,25,47698,361531,0,0,1
1,40,26150,201697,1,0,1
1,25,39920,369627,0,1,1
1,36,38534,396873,0,1,1
1,33,41417,285984,0,0,1
1,29,17304,216863,0,1,1
1,25,36198,369598,0,1,1
1,38,10204,491259,1,1,1
1,39,36971,270743,0,1,1
1,25,28079,153507,0,1,1
1,34,35771,419030,0,1,1
1,30,34049,316239,1,0,1
1,26,42473,429879,0,1,1
1,36,49771,397071,0,1,1
1,40,49847,110583,1,1,1
1,36,10760,195224,0,1,1
1,33,17555,266980,0,1,1
1,36,39997,121604,1,0,1
1,27,31592,326479,1,1,1
1,38,20584,345407,1,1,1
1,36,31559,367433,1,1,1
1,31,24597,355154,0,1,1
1,28,22575,437058,0,1,1
1,25,10593,272698,0,0,1
1,35,39407,456065,1,1,1
1,33,11837,296896,1,1,1
1,40,35837,397266,0,1,1
1,35,18405,454659,1,1,1
1,37,19992,479382,0,1,1
1,29,45933,404098,1,1,1
1,26,30431,133264,0,0,1
1,34,45323,383891,0,0,1
1,37,12719,486238,1,0,1
1,34,12996,195608,0,1,1
1,26,23580,242416,0,0,1
1,35,27004,123241,0,0,1
1,26,33332,480054,1,1,1
1,32,24003,232644,0,1,1
1,39,41704,450273,0,1,1
1,28,11312,110953,1,0,1
1,33,20222,388267,0,0,1
1,39,36722,168155,0,1,1
1,40,30729,348596,0,1,1
1,38,40620,146139,0,0,1
1,32,49319,225730,0,0,1
1,38,32206,117841,0,1,1
1,36,44852,116695,1,1,1
1,28,33982,293874,1,1,1
1,35,44235,263253,1,1,1
1,33,15445,325239,1,1,1
1,34,49742,310476,1,1,1
1,26,38930,382903,1,0,1
1,35,31399,416556,1,1,1
1,38,17350,260948,0,0,1
1,39,26159,240578,1,0,1
1,39,14916,236877,1,0,1
1,30,12897,243852,0,1,1
1,29,18494,308037,0,1,1
1,31,20523,120459,1,0,1
1,26,24445,370248,1,0,1
1,39,11669,383676,1,1,1
1,35,28848,172840,1,1,1
1,29,43542,436100,1,1,1
1,27,44833,204307,0,0,1
1,32,13727,167681,1,1,1
1,25,32872,235607,1,1,1
1,38,10394,201722,1,0,1
1,39,22626,192189,0,1,1
1,38,46316,275958,0,1,1
1,31,20156,216229,0,0,1
1,25,39626,206524,1,1,1
1,29,31171,244661,1,1,1
1,29,30711,251786,1,1,1
1,34,31508,111035,0,0,1
1,40,24979,407950,0,0,1
1,40,21751,123985,1,0,1
